dealID,proposedTickerSymbol_x,companyName_x,proposedExchange,proposedSharePrice,sharesOffered,pricedDate,dollarValueOfSharesOffered_x,dealStatus,proposedTickerSymbol_y,companyName_y,filedDate,dollarValueOfSharesOffered_y
1147321-96153,CFFSU,CF Acquisition Corp. VII,NASDAQ Global,10.00,"17,500,000",12/16/2021,"$175,000,000",Priced,CFFSU,CF Acquisition Corp. VII,2/19/2021,"$175,000,000"
1147333-96158,MSDAU,MSD ACQUISITION CORP. / NEW,NASDAQ Capital,10.00,"50,000,000",3/25/2021,"$500,000,000",Priced,MSDAU,MSD ACQUISITION CORP. / NEW,2/19/2021,"$500,000,000"
1147341-96159,,,,,,,,,,B Capital Technology Opportunities Corp.,2/19/2021,"$230,000,000"
1147346-96161,UPTDU,"Estrella Immunopharma, Inc.",NASDAQ Capital,10.00,"4,000,000",7/15/2021,"$40,000,000",Priced,UPTDU,"Estrella Immunopharma, Inc.",2/19/2021,"$40,000,000"
1147348-96163,BNIXU,Bannix Acquisition Corp.,NASDAQ Capital,10.00,"6,000,000",9/10/2021,"$60,000,000",Priced,BNIXU,Bannix Acquisition Corp.,2/19/2021,"$60,000,000"
1147349-96164,TPBAU,TPB Acquisition Corp I,NASDAQ Capital,10.00,"17,500,000",8/11/2021,"$175,000,000",Priced,TPBAU,TPB Acquisition Corp I,2/19/2021,"$175,000,000"
1147350-96165,,,,,,,,,EOCOU,Elliott Opportunity I Corp.,2/19/2021,"$1,150,000,000"
1147352-96166,,,,,,,,,OACAU,Ocelot Acquisition Corp I,2/19/2021,"$230,000,000"
1147355-96167,EOCWU,Elliott Opportunity II Corp.,NYSE,10.00,"53,000,000",6/29/2021,"$530,000,000",Priced,EOCWU,Elliott Opportunity II Corp.,2/19/2021,"$530,000,000"
1147356-96170,PLMIU,VEEA INC.,NASDAQ Capital,10.00,"30,000,000",3/16/2021,"$300,000,000",Priced,PLMIU,VEEA INC.,2/19/2021,"$300,000,000"
1147388-96172,LCAAU,L Catterton Asia Acquisition Corp,NASDAQ Capital,10.00,"25,000,000",3/11/2021,"$250,000,000",Priced,LCAAU,L Catterton Asia Acquisition Corp,2/22/2021,"$250,000,000"
1147393-96173,,,,,,,,,NPACU,New Providence Acquisition Corp. III,2/22/2021,"$345,000,000"
1147394-96174,,,,,,,,,ASPXU,Aspirational Consumer Lifestyle Corp. II,2/22/2021,"$345,000,000"
1147395-96175,NPABU,New Providence Acquisition Corp. II,NASDAQ Global,10.00,"22,500,000",11/05/2021,"$225,000,000",Priced,NPABU,New Providence Acquisition Corp. II,2/22/2021,"$225,000,000"
1147397-96176,GGPIU,"Gores Guggenheim, Inc.",NASDAQ Capital,10.00,"75,000,000",3/23/2021,"$750,000,000",Priced,GGPIU,"Gores Guggenheim, Inc.",2/22/2021,"$750,000,000"
1147464-96181,ESM'U,ESM Acquisition Corp,NYSE,10.00,"30,000,000",3/10/2021,"$300,000,000",Priced,ESM'U,ESM Acquisition Corp,2/22/2021,"$300,000,000"
1147498-96188,TIOAU,Tio Tech A,NASDAQ Capital,10.00,"30,000,000",4/08/2021,"$300,000,000",Priced,TIOAU,Tio Tech A,2/22/2021,"$300,000,000"
1147502-96191,WALDU,Waldencast plc,NASDAQ Capital,10.00,"30,000,000",3/16/2021,"$300,000,000",Priced,WALDU,Waldencast plc,2/22/2021,"$300,000,000"
1147504-96192,FRWAU,PWP Forward Acquisition Corp. I,NASDAQ Capital,10.00,"20,000,000",3/10/2021,"$200,000,000",Priced,FRWAU,PWP Forward Acquisition Corp. I,2/22/2021,"$200,000,000"
1147552-96195,,,,,,,,,GGI'U,Guggenheim Special Purpose Acquisition Corp. I,2/23/2021,"$575,000,000"
1147560-96196,,,,,,,,,ATWOU,Acies Acquisition Corp. II,2/23/2021,"$287,500,000"
1147561-96197,,,,,,,,,KVSD,Khosla Ventures Acquisition Co. IV,2/23/2021,"$230,000,000"
1147563-96198,,,,,,,,,,Queen's Gambit Growth Capital II,2/23/2021,"$345,000,000"
1147616-96203,GXIIU,ELK CREEK RESOURCES CORP.,NASDAQ Capital,10.00,"30,000,000",3/18/2021,"$300,000,000",Priced,GXIIU,ELK CREEK RESOURCES CORP.,2/23/2021,"$300,000,000"
1147654-96209,,,,,,,,,,Graf Acquisition Corp. III,2/23/2021,"$345,000,000"
1147656-96210,GFORU,"NKGen Biotech, Inc.",NYSE,10.00,"15,000,000",5/21/2021,"$150,000,000",Priced,GFORU,"NKGen Biotech, Inc.",2/23/2021,"$150,000,000"
1147661-96211,NAPA,"Duckhorn Portfolio, Inc.",NYSE,15.00,"20,000,000",3/18/2021,"$300,000,000",Priced,NAPA,"Duckhorn Portfolio, Inc.",2/23/2021,"$300,000,000"
1147672-96213,,,,,,,,,TWCGU,Galliot Acquisition Corp.,2/23/2021,"$287,500,000"
1147676-96214,HWELU,Healthwell Acquisition Corp. I,NASDAQ Capital,10.00,"25,000,000",8/03/2021,"$250,000,000",Priced,HWELU,Healthwell Acquisition Corp. I,2/23/2021,"$250,000,000"
1147678-96215,TWCBU,Bilander Acquisition Corp.,NASDAQ Capital,10.00,"15,000,000",7/16/2021,"$150,000,000",Priced,TWCBU,Bilander Acquisition Corp.,2/23/2021,"$150,000,000"
1147682-96216,,,,,,,,,,LEO HOLDINGS IV CORP,2/23/2021,"$345,000,000.00"
1147716-96219,FTVIU,FINTECH ACQUISITION CORP VI,NASDAQ Capital,10.00,"22,000,000",6/24/2021,"$220,000,000",Priced,FTVIU,FINTECH ACQUISITION CORP VI,2/24/2021,"$220,000,000"
1147805-96224,TETCU,Tech & Energy Transition Corp,NASDAQ Capital,10.00,"38,500,000",3/17/2021,"$385,000,000",Priced,TETCU,Tech & Energy Transition Corp,2/24/2021,"$385,000,000"
1147832-96225,GACQU,Global Consumer Acquisition Corp,NASDAQ Capital,10.00,"17,000,000",6/09/2021,"$170,000,000",Priced,GACQU,Global Consumer Acquisition Corp,2/24/2021,"$170,000,000"
1147868-96229,,,,,,,,,TEKCU,Tekkorp Digital Acquisition Corp. II,2/24/2021,"$172,500,000"
1147872-96232,BRIVU,B. Riley Principal 250 Merger Corp.,NASDAQ Capital,10.00,"15,000,000",5/07/2021,"$150,000,000",Priced,BRIVU,B. Riley Principal 250 Merger Corp.,2/24/2021,"$150,000,000"
1147873-96233,GAMCU,"Bolt Projects Holdings, Inc.",NASDAQ Capital,10.00,"25,000,000",3/17/2021,"$250,000,000",Priced,GAMCU,"Bolt Projects Holdings, Inc.",2/24/2021,"$250,000,000"
1147926-96235,CMLTU,"EQRx, Inc.",NASDAQ Capital,10.00,"48,000,000",4/07/2021,"$480,000,000",Priced,CMLTU,"EQRx, Inc.",2/25/2021,"$480,000,000"
1147928-96236,,,,,,,,,,INSU ACQUISITION CORP IV,2/25/2021,"$253,000,000"
1147929-96238,SIERU,Sierra Lake Acquisition Corp.,NASDAQ Capital,10.00,"30,000,000",9/15/2021,"$300,000,000",Priced,SIERU,Sierra Lake Acquisition Corp.,2/25/2021,"$300,000,000"
1147940-110414,ALMS,ALUMIS INC.,NASDAQ Global Select,16.00,"13,125,000",6/28/2024,"$210,000,000",Priced,ALMS,ALUMIS INC.,6/07/2024,"$210,000,000"
1147987-96244,,,,,,,,,VEMCU,VELOCITY MERGER CORP.,2/25/2021,"$287,500,000"
